Value,Frequency
29,14
30,27
31,39
32,44
33,74
34,63
35,36
36,49
37,40
38,26
39,51
40,17
41,45
42,42
43,47
44,13
45,11
46,5
47,23
48,15
49,44
50,29
51,17
52,21
53,5
54,18
55,5
56,13
57,10
58,2
59,3
60,10
61,12
62,13
63,19
64,32
65,19
66,22
67,8
68,10
69,15
70,10
71,8
72,6
73,3
74,10
75,6
76,6
77,6
78,8
79,18
80,18
81,16
82,11
83,14
84,8
85,8
86,27
87,7
88,13
89,21
90,21
91,6
