Date,Day,Month,Year,Average,Volume
11-Sep-14,11,9,14,124.55,1286297
23-Apr-12,23,4,12,27.39,1526978
13-Feb-13,13,2,13,75.79,1066981
21-May-12,21,5,12,25.16,2338766
7-Dec-10,7,12,10,22.88,38401904
23-Apr-13,23,4,13,73.63,500919
13-Feb-14,13,2,14,116.14,1109941
5-Jun-14,5,6,14,90.91,968761
21-Jan-14,21,1,14,122.85,1094728
22-Dec-09,22,12,9,19.2,21601096
4-Jun-10,4,6,10,17.59,81632936
5-Jun-13,5,6,13,76.38,863594
5-Jun-12,5,6,12,24.15,3172544
27-May-14,27,5,14,95.81,1638828
10-Mar-14,10,3,14,111.52,1558099
27-May-10,27,5,10,18.31,50820212
27-May-11,27,5,11,26.92,0
10-Mar-11,10,3,11,25.69,6406982
10-Mar-10,10,3,10,20.14,30741006
4-Nov-14,4,11,14,121.83,989974
16-Dec-11,16,12,11,21.93,4737268
22-Sep-11,22,9,11,18.95,19405504
4-Nov-10,4,11,10,22.34,29058552
14-Aug-12,14,8,12,29.15,1098842
23-Jul-10,23,7,10,18.2,40434974
4-Nov-13,4,11,13,116.46,1000693
6-Sep-12,6,9,12,29.86,1743778
30-Mar-11,30,3,11,26.69,3722928
30-Mar-10,30,3,10,21.14,21307734
27-Jun-12,27,6,12,25.98,1433618
5-Sep-14,5,9,14,119.88,1104798
11-Jan-11,11,1,11,24.61,18593798
11-Jan-10,11,1,10,20.27,26442102
11-Jan-13,11,1,13,84.62,430884
5-Sep-13,5,9,13,108.16,587698
4-Sep-13,4,9,13,107.73,1449316
4-Sep-12,4,9,12,29.09,1257480
6-Mar-13,6,3,13,67.28,1307700
6-Mar-12,6,3,12,26.69,3798420
6-Mar-14,6,3,14,118.12,1545675
6-Dec-10,6,12,10,22.64,17429266
4-Sep-14,4,9,14,121.27,1290577
29-Oct-14,29,10,14,115.68,2628143
22-Jan-10,22,1,10,18.69,85047866
29-Oct-10,29,10,10,21.14,21826842
29-Oct-13,29,10,13,107.25,989176
26-Dec-12,26,12,12,79.47,571412
26-Dec-13,26,12,13,129.05,787545
22-Nov-11,22,11,11,20.81,4680128
11-Jun-10,11,6,10,17.91,43262198
11-Jun-13,11,6,13,82.53,785927
11-Jun-12,11,6,12,25.79,3425588
10-Dec-09,10,12,9,18.7,35105540
11-Jun-14,11,6,14,91.88,835498
6-Apr-11,6,4,11,27.07,3646312
14-Jun-12,14,6,12,25.84,2283488
14-Jun-13,14,6,13,84.36,499313
26-Nov-13,26,11,13,117.21,787549
26-Nov-12,26,11,12,29.13,11141786
5-Oct-12,5,10,12,31.68,1539038
26-Nov-14,26,11,14,103.62,1517396
20-Oct-10,20,10,10,20.85,34194572
20-Oct-11,20,10,11,21.69,6708746
14-Jul-14,14,7,14,105.44,819239
21-Nov-11,21,11,11,20.96,5793500
21-Nov-12,21,11,12,28.55,9167144
21-Nov-13,21,11,13,115.37,1510392
21-Nov-14,21,11,14,102.73,813934
9-Dec-11,9,12,11,22.89,3894050
9-Dec-13,9,12,13,117.1,867961
16-Mar-11,16,3,11,24.35,10689808
7-Sep-12,7,9,12,30.45,1374206
21-May-10,21,5,10,17.55,99952668
7-Sep-10,7,9,10,18.18,28699036
7-Sep-11,7,9,11,21.12,6061950
11-Feb-11,11,2,11,26.57,4298630
11-Feb-10,11,2,10,17.64,50277576
11-Feb-13,11,2,13,81.32,334484
8-Oct-10,8,10,10,20.41,23671750
2-Jul-10,2,7,10,15.83,0
11-Feb-14,11,2,14,112.07,911510
13-Apr-11,13,4,11,26.26,3767756
23-Apr-10,23,4,10,22.54,30497690
24-Aug-12,24,8,12,29.14,1312114
24-Aug-11,24,8,11,20.35,8997794
16-Mar-12,16,3,12,29.08,2514052
