Date,Day,Month,Year,Average,Volume
25-Apr-11,25,4,11,27.01,1401556
3-Nov-11,3,11,11,23.1,6266588
27-Dec-13,27,12,13,50.89,8491440
25-Apr-14,25,4,14,52.36,9547094
18-Sep-13,18,9,13,43.96,13609618
18-Sep-12,18,9,12,31.47,780190
7-May-14,7,5,14,52.68,11838692
7-May-13,7,5,13,39.1,7607640
7-May-12,7,5,12,27.52,2212998
8-Mar-10,8,3,10,19.97,15757936
18-Sep-14,18,9,14,61.11,7498148
23-May-11,23,5,11,26.32,4581192
23-May-12,23,5,12,25.34,2928114
23-May-13,23,5,13,40.35,16557362
23-May-14,23,5,14,54.19,4853910
29-Sep-11,29,9,11,20.02,8780014
2-Oct-12,2,10,12,30.88,1276400
31-Jul-13,31,7,13,42.54,12950108
31-Jul-12,31,7,12,28.08,1834338
9-Mar-10,9,3,10,19.97,26822128
31-Jul-14,31,7,14,56.98,13755330
9-Mar-12,9,3,12,27.69,2431730
31-Dec-09,31,12,9,19.12,0
24-Dec-09,24,12,9,19.45,6593514
29-Jun-12,29,6,12,27.08,2051568
21-Feb-13,21,2,13,33.57,24238452
27-Apr-12,27,4,12,28.96,1358920
29-Jun-11,29,6,11,25.81,5119934
21-Feb-14,21,2,14,50.8,11341402
30-Jul-10,30,7,10,18.21,39999412
13-Dec-12,13,12,12,30.07,19000372
13-Dec-13,13,12,13,47.35,13710288
13-Dec-10,13,12,10,23.42,21594332
9-Jul-14,9,7,14,58.54,4722840
9-Jul-13,9,7,13,40.56,8181372
9-Jul-12,9,7,12,26.91,1973490
29-Dec-09,29,12,9,19.58,14060870
9-Jul-10,9,7,10,17.49,28752982
27-Oct-10,27,10,10,21.01,29423488
2-Aug-10,2,8,10,19.03,27066590
25-Mar-10,25,3,10,21.08,29747550
7-Dec-12,7,12,12,29.77,20516982
13-Jun-13,13,6,13,39.32,10939176
13-Jun-12,13,6,12,25.63,2198784
29-Apr-14,29,4,14,52.84,7277912
13-Nov-12,13,11,12,28.02,2086394
20-Apr-11,20,4,11,26.8,3939518
13-Nov-14,13,11,14,62.9,6462866
29-Apr-10,29,4,10,22.24,27802810
13-Jun-14,13,6,14,56.37,5243822
11-Dec-09,11,12,9,18.81,32384814
6-Oct-10,6,10,10,20.32,25180890
7-Oct-14,7,10,14,57.26,15829614
20-Nov-14,20,11,14,63.4,5173162
20-Nov-13,20,11,13,47.78,14750506
20-Nov-12,20,11,12,28.38,1139418
7-Oct-13,7,10,13,42.07,11463850
29-Nov-10,29,11,10,21.21,32338956
29-Nov-11,29,11,11,21.07,4779888
1-Jun-10,1,6,10,17.77,59015630
29-Aug-11,29,8,11,21.51,7231666
30-Apr-12,30,4,12,28.76,1641090
27-Sep-11,27,9,11,20.71,7155882
27-Sep-10,27,9,10,19.84,20420494
27-Sep-13,27,9,13,42.7,13807060
25-Jul-13,25,7,13,42.32,12809324
10-Jul-14,10,7,14,57.94,6133230
12-Sep-11,12,9,11,19.71,11573530
1-Feb-11,1,2,11,25.65,25727140
2-Dec-11,2,12,11,22.99,3775288
1-Feb-13,1,2,13,33.76,13230008
1-Feb-12,1,2,12,25.76,3160376
30-Oct-13,30,10,13,46.66,15893666
22-May-13,22,5,13,41.32,22469480
30-Oct-14,30,10,14,59.58,9729984
2-Jun-10,2,6,10,18.02,49971906
2-Jun-11,2,6,11,26.18,5489976
23-Jul-12,23,7,12,26.68,2116998
2-Jun-14,2,6,14,55.69,6174876
22-Apr-10,22,4,10,22.17,41930228
12-Aug-14,12,8,14,56.44,8044984
11-Aug-10,11,8,10,18.22,54290106
12-Aug-13,12,8,13,42.43,7504694
12-Aug-10,12,8,10,17.65,39610746
7-Dec-11,7,12,11,23.21,4445346
16-Jul-12,16,7,12,26.97,1594476
16-Jul-13,16,7,13,41.97,12324978
6-Aug-14,6,8,14,55.43,6993620
16-Nov-12,16,11,12,27.16,3575134
6-Aug-13,6,8,13,43.05,10169116
16-Jul-14,16,7,14,59.16,16227384
16-Nov-11,16,11,11,22.81,6126052
24-Mar-14,24,3,14,52.12,14943804
11-Sep-12,11,9,12,30.32,774402
11-Sep-13,11,9,13,42.4,12083206
11-Sep-14,11,9,14,60.04,7746678
23-Apr-12,23,4,12,27.39,1526978
13-Feb-13,13,2,13,34.32,12893572
21-May-12,21,5,12,25.16,2338766
7-Dec-10,7,12,10,22.88,38401904
23-Apr-13,23,4,13,36.74,16299140
13-Feb-14,13,2,14,49.55,11121580
5-Jun-14,5,6,14,56.32,8338052
21-Jan-14,21,1,14,50.91,9928304
22-Dec-09,22,12,9,19.2,21601096
4-Jun-10,4,6,10,17.59,81632936
5-Jun-13,5,6,13,39.02,20246882
5-Jun-12,5,6,12,24.15,3172544
27-May-14,27,5,14,54.88,4919218
10-Mar-14,10,3,14,52.76,6786822
27-May-10,27,5,10,18.31,50820212
27-May-11,27,5,11,26.92,0
10-Mar-11,10,3,11,25.69,6406982
10-Mar-10,10,3,10,20.14,30741006
4-Nov-14,4,11,14,61.03,12751992
16-Dec-11,16,12,11,21.93,4737268
22-Sep-11,22,9,11,18.95,19405504
4-Nov-10,4,11,10,22.34,29058552
14-Aug-12,14,8,12,29.15,1098842
23-Jul-10,23,7,10,18.2,40434974
4-Nov-13,4,11,13,46.61,6536516
6-Sep-12,6,9,12,29.86,1743778
30-Mar-11,30,3,11,26.69,3722928
30-Mar-10,30,3,10,21.14,21307734
27-Jun-12,27,6,12,25.98,1433618
5-Sep-14,5,9,14,60.5,7778910
11-Jan-11,11,1,11,24.61,18593798
11-Jan-10,11,1,10,20.27,26442102
11-Jan-13,11,1,13,32.05,8475966
5-Sep-13,5,9,13,40.92,7525350
4-Sep-13,4,9,13,40.5,8888562
4-Sep-12,4,9,12,29.09,1257480
6-Mar-13,6,3,13,35.37,13196334
6-Mar-12,6,3,12,26.69,3798420
6-Mar-14,6,3,14,52.98,10254552
6-Dec-10,6,12,10,22.64,17429266
4-Sep-14,4,9,14,60.56,10224302
29-Oct-14,29,10,14,59.33,13137740
22-Jan-10,22,1,10,18.69,85047866
29-Oct-10,29,10,10,21.14,21826842
29-Oct-13,29,10,13,46.73,9741792
26-Dec-12,26,12,12,30.02,10633552
26-Dec-13,26,12,13,50.7,7205348
22-Nov-11,22,11,11,20.81,4680128
11-Jun-10,11,6,10,17.91,43262198
11-Jun-13,11,6,13,39.57,15140132
11-Jun-12,11,6,12,25.79,3425588
10-Dec-09,10,12,9,18.7,35105540
11-Jun-14,11,6,14,56.93,6101816
6-Apr-11,6,4,11,27.07,3646312
14-Jun-12,14,6,12,25.84,2283488
14-Jun-13,14,6,13,39.69,13736494
26-Nov-13,26,11,13,48.74,8086358
26-Nov-12,26,11,12,29.13,11141786
5-Oct-12,5,10,12,31.68,1539038
26-Nov-14,26,11,14,64.95,3136090
20-Oct-10,20,10,10,20.85,34194572
20-Oct-11,20,10,11,21.69,6708746
14-Jul-14,14,7,14,58.98,3917226
21-Nov-11,21,11,11,20.96,5793500
21-Nov-12,21,11,12,28.55,9167144
21-Nov-13,21,11,13,48.04,9212224
21-Nov-14,21,11,14,64.68,6106366
9-Dec-11,9,12,11,22.89,3894050
9-Dec-13,9,12,13,49.06,7601116
16-Mar-11,16,3,11,24.35,10689808
7-Sep-12,7,9,12,30.45,1374206
21-May-10,21,5,10,17.55,99952668
7-Sep-10,7,9,10,18.18,28699036
7-Sep-11,7,9,11,21.12,6061950
11-Feb-11,11,2,11,26.57,4298630
11-Feb-10,11,2,10,17.64,50277576
11-Feb-13,11,2,13,34.09,8843456
8-Oct-10,8,10,10,20.41,23671750
2-Jul-10,2,7,10,15.83,0
11-Feb-14,11,2,14,49.13,19043692
13-Apr-11,13,4,11,26.26,3767756
23-Apr-10,23,4,10,22.54,30497690
24-Aug-12,24,8,12,29.14,1312114
24-Aug-11,24,8,11,20.35,8997794
16-Mar-12,16,3,12,29.08,2514052
20-Sep-10,20,9,10,19.56,33302972
20-Sep-11,20,9,11,21.75,7330592
20-Sep-12,20,9,12,31.34,1223942
20-Sep-13,20,9,13,44.1,11306902
5-Nov-14,5,11,14,61.77,8873954
5-Nov-13,5,11,13,46.37,9886374
5-Nov-12,5,11,12,29.52,1387822
25-Jun-10,25,6,10,17.61,43299988
31-Jan-12,31,1,12,25.4,2629558
25-Jul-11,25,7,11,27.09,2885818
25-Jul-12,25,7,12,26.39,3184296
13-Jan-14,13,1,14,50.15,16846058
25-Jul-14,25,7,14,59.07,6072186
13-Jan-12,13,1,12,24.48,0
