Value,Frequency
60,1
61,2
62,1
63,6
64,14
65,9
66,12
67,22
68,25
69,23
70,42
71,43
72,23
73,21
74,22
75,22
76,46
77,61
78,46
79,50
80,54
81,50
82,37
83,37
84,36
85,22
86,11
87,3
88,2
89,10
90,5
91,9
92,5
93,7
94,4
95,10
96,5
97,2
98,1
99,2
100,1
101,4
102,13
103,14
104,7
105,3
106,2
107,11
108,15
109,15
110,7
111,10
112,9
113,17
114,24
115,27
116,22
117,32
118,27
119,30
120,23
121,20
122,9
123,7
124,10
125,11
126,19
127,15
128,14
129,24
130,11
131,2
132,1
