Value,Frequency
26,14
27,16
28,40
29,60
30,32
31,20
32,52
33,31
34,20
35,61
36,89
37,95
38,50
39,26
40,14
41,21
42,29
43,42
44,75
45,23
46,60
47,75
48,72
49,111
50,85
51,24
52,14
53,8
